ranking,world_rank,university,presence_rank,impact_rank,openness_rank,excellence_rank
76.0,2573.0,(1) Indian Institute of Science Education and Research Bhopal,6093.0,8233.0,1031.0,1950.0
77.0,2582.0,Alagappa University,8705.0,7715.0,2335.0,1773.0
78.0,2599.0,Maharshi Dayanand University,5733.0,6336.0,1616.0,2260.0
79.0,2613.0,Kurukshetra University,7169.0,5342.0,1900.0,2441.0
80.0,2619.0,University of Jammu,7205.0,7470.0,3320.0,1770.0
81.0,2626.0,Sanjay Gandhi Postgraduate Institute of Medical Sciences,19223.0,7539.0,970.0,1991.0
82.0,2656.0,Guru Gobind Singh Indraprastha University,7067.0,5178.0,1207.0,2727.0
83.0,2684.0,Lucknow University,8863.0,5855.0,2687.0,2285.0
84.0,2689.0,Indian Institute of Technology Patna,8188.0,7320.0,2184.0,2059.0
85.0,2700.0,Indian School of Business Hyderabad,5432.0,2673.0,2373.0,3510.0
86.0,2743.0,National Institute of Technology Kurukshetra (Regional Engineering College),9220.0,7970.0,2168.0,1991.0
87.0,2757.0,Gauhati University,10476.0,6854.0,2843.0,2149.0
88.0,2772.0,Gandhigram Rural University,14767.0,8838.0,2234.0,1780.0
89.0,2800.0,Vidyasagar University,7521.0,8272.0,2247.0,2051.0
90.0,2813.0,University of Kerala,7668.0,6320.0,3248.0,2361.0
91.0,2816.0,Indian Institute of Science Education and Research Thiruvananthapuram,8514.0,5409.0,2036.0,2757.0
92.0,2819.0,Goa University,4114.0,6671.0,2074.0,2555.0
93.0,2830.0,Sree Chitra Tirunal Institute for Medical Sciences and Technology,8142.0,7336.0,1285.0,2494.0
94.0,2844.0,Academy of Scientific and Innovative Research,15525.0,12791.0,4519.0,923.0
95.0,2846.0,Gandhi Institute of Technology and Management,6987.0,6211.0,2761.0,2534.0
96.0,2867.0,Punjab Agricultural University Ludhiana,27603.0,6897.0,630.0,2296.0
97.0,2875.0,Bharati Vidyapeeth University,7757.0,7156.0,2480.0,2383.0
98.0,2899.0,Indian Institute of Information Technology Allahabad,7256.0,5431.0,1941.0,2934.0
99.0,2905.0,Periyar University Salem,14666.0,8022.0,2598.0,2125.0
100.0,2908.0,Dr Bhim Rao Ambedkar National Institute of Technology,13218.0,7752.0,1241.0,2478.0
101.0,2917.0,Jawaharlal Nehru Technological University Hyderabad,14147.0,7932.0,1797.0,2312.0
102.0,2932.0,National Institute of Technology Hamirpur,12587.0,8146.0,1971.0,2285.0
103.0,2956.0,(1) Jamia Hamdard,11585.0,13227.0,870.0,1532.0
104.0,2989.0,Indian Institute of Management Bangalore,5607.0,4046.0,5227.0,3115.0
105.0,2993.0,Indian Institute of Management Calcutta,8711.0,4273.0,2879.0,3322.0
106.0,3020.0,North Maharashtra University,9720.0,7984.0,2789.0,2430.0
107.0,3022.0,Jawaharlal Institute of Postgraduate Medical Education & Research,6494.0,5579.0,3119.0,2995.0
108.0,3025.0,Nirma University of Science & Technology,7132.0,7164.0,2976.0,2623.0
109.0,3040.0,Chennai Mathematical Institute,6954.0,6395.0,3267.0,2795.0
110.0,3046.0,(1) Bharathiar University Coimbatore,12254.0,6321.0,11400.0,1180.0
111.0,3051.0,Dr Hari Singh Gour University Sagar University,8175.0,9231.0,3651.0,2107.0
112.0,3055.0,Loyola College Chennai,9900.0,8906.0,2600.0,2327.0
113.0,3060.0,PES University (PES Institute of Technology),3018.0,5118.0,2896.0,3369.0
114.0,3075.0,University of Petroleum & Energy Studies,7809.0,6090.0,2424.0,3072.0
115.0,3075.0,University of Kashmir,7256.0,7391.0,6477.0,2178.0
116.0,3085.0,Jaypee Institute of Information Technology University Noida,14354.0,9200.0,2788.0,2212.0
117.0,3089.0,Postgraduate Institute of Medical Education & Research Chandigarh,12852.0,6507.0,11400.0,1201.0
118.0,3093.0,"Indian Institute of Science Education and Research, Mohali",13015.0,9447.0,1725.0,2349.0
119.0,3111.0,Tezpur University,6118.0,14721.0,1482.0,1467.0
120.0,3117.0,Devi Ahilya Vishwavidyalaya Indore,7132.0,6401.0,4296.0,2795.0
121.0,3120.0,Amravati University,12863.0,9541.0,1255.0,2494.0
122.0,3120.0,NMIMS University,7668.0,4659.0,1702.0,3683.0
123.0,3123.0,Assam University,9006.0,8121.0,2200.0,2684.0
124.0,3132.0,TERI School of Advanced Studies,10453.0,5971.0,4686.0,2807.0
125.0,3136.0,North Eastern Hill University,5589.0,6310.0,2136.0,3216.0
126.0,3157.0,Thiagarajar College of Engineering,7205.0,9931.0,2417.0,2336.0
127.0,3157.0,Kuvempu University,11039.0,10001.0,2104.0,2296.0
128.0,3191.0,K L University,8584.0,8496.0,2096.0,2757.0
129.0,3203.0,Chhatrapati Shahuji Maharaj Medical University (King George Medical University),9286.0,8040.0,6780.0,2187.0
130.0,3215.0,Maharishi Markandeshwar University,14000.0,8771.0,1340.0,2795.0
131.0,3234.0,Maulana Azad National Institute of Technology Bhopal,13218.0,7600.0,1404.0,3115.0
132.0,3252.0,Indian Institute of Management Ahmedabad,5259.0,5394.0,2029.0,3683.0
133.0,3258.0,Sri Ramachandra University (Sri Ramachandra Medical College and Research Institute),8772.0,8702.0,2878.0,2708.0
134.0,3258.0,Manonmaniam Sundaranar University,12756.0,8894.0,2245.0,2684.0
135.0,3264.0,Sri Venkateswara University,7787.0,12766.0,4790.0,1580.0
136.0,3274.0,Govind Ballabh Pant University of Agriculture & Technology,13146.0,7121.0,2867.0,3028.0
137.0,3280.0,Dhirubai Ambani Institute of Information and Communication Technology,10414.0,4757.0,2739.0,3722.0
138.0,3284.0,Babasaheb Bhimrao Ambedkar University Lucknow,9748.0,10863.0,2024.0,2349.0
139.0,3321.0,Indian Institute of Management Lucknow,10834.0,5592.0,1859.0,3683.0
140.0,3332.0,Dibrugarh University,6628.0,6977.0,3588.0,3168.0
141.0,3346.0,Dr Reddy's Laboratories,13700.0,4298.0,2030.0,4016.0
142.0,3349.0,National Dairy Research Institute,14709.0,9259.0,2629.0,2653.0
143.0,3404.0,Karnatak University,13970.0,9360.0,2658.0,2744.0
144.0,3424.0,Gujarat University,6007.0,8679.0,2555.0,3089.0
145.0,3440.0,Sri Sivasubramaniya Nadar College of Engineering,15032.0,10314.0,3022.0,2494.0
146.0,3471.0,Indian Institute of Information Technology and Management Gwalior,11082.0,8861.0,3353.0,2891.0
147.0,3475.0,Jiwaji University,6093.0,7786.0,4286.0,3115.0
148.0,3489.0,Jaypee University of Information Technology Waknaghat,10151.0,10280.0,3198.0,2612.0
149.0,3492.0,Mangalore University,9152.0,8434.0,2232.0,3243.0
150.0,3496.0,Visveswaraiah Technological University,5112.0,5249.0,4071.0,3803.0
151.0,3500.0,Pandit Deendayal Petroleum University,10230.0,8698.0,3361.0,2995.0
152.0,3518.0,Siksha O Anusandhan University,18335.0,12855.0,3842.0,1881.0
153.0,3520.0,Tata Institute of Social Sciences,3050.0,2608.0,4158.0,4653.0
154.0,3528.0,Ch Charan Singh University,14115.0,7917.0,3062.0,3216.0
155.0,3543.0,National Institute of Technology Jamshedpur,11930.0,9076.0,3204.0,2977.0
156.0,3592.0,M S Ramaiah Institute of Technology,23159.0,10490.0,2667.0,2581.0
157.0,3601.0,University of Mysore,5341.0,5193.0,11400.0,2312.0
158.0,3606.0,Christian Medical College Vellore,14623.0,7422.0,11400.0,1693.0
159.0,3607.0,Dayalbagh Educational Institute,9942.0,8738.0,3274.0,3189.0
160.0,3636.0,University of Agricultural Sciences Bangalore,8996.0,9777.0,3087.0,3028.0
161.0,3639.0,Indraprastha Institute of Information Technology Delhi,11301.0,7241.0,1739.0,3803.0
162.0,3648.0,Netaji Subhas Institute of Technology,18248.0,8907.0,2830.0,3141.0
163.0,3654.0,Symbiosis International University,16150.0,8259.0,5492.0,2934.0
164.0,3677.0,(1) Indira Gandhi National Open University,2338.0,2535.0,2745.0,5051.0
165.0,3706.0,Shri Mata Vaishno Devi University,9347.0,10577.0,1471.0,3243.0
166.0,3710.0,Sathyabama Institute of Science and Technology (Sathyabama Deemed University),13761.0,13430.0,4207.0,2093.0
167.0,3715.0,Indira Gandhi Institute of Development and Research,12637.0,6175.0,1805.0,4127.0
168.0,3719.0,Visva Bharati University,6494.0,10082.0,11400.0,1438.0
169.0,3734.0,Sri Venkateswara College of Engineering,7794.0,10276.0,3101.0,3089.0
170.0,3766.0,University of North Bengal Darjeeling,14829.0,8253.0,4392.0,3322.0
